uri1	AGROVOC LABELS	match	GEMET LABELS	uri2	
http://aims.fao.org/aos/agrovoc/c_1843	Controlled burning	http://www.w3.org/2004/02/skos/mapping#exactMatch	controlled burning	http://www.eionet.europa.eu/gemet/concept/1769
http://aims.fao.org/aos/agrovoc/c_1854	Cooling	http://www.w3.org/2004/02/skos/mapping#exactMatch	cooling	http://www.eionet.europa.eu/gemet/concept/1781
http://aims.fao.org/aos/agrovoc/c_1868	Copper	http://www.w3.org/2004/02/skos/mapping#exactMatch	copper	http://www.eionet.europa.eu/gemet/concept/1792
http://aims.fao.org/aos/agrovoc/c_1880	Coral reefs	http://www.w3.org/2004/02/skos/mapping#exactMatch	coral reef	http://www.eionet.europa.eu/gemet/concept/1796
http://aims.fao.org/aos/agrovoc/c_1895	Cork	http://www.w3.org/2004/02/skos/mapping#exactMatch	cork	http://www.eionet.europa.eu/gemet/concept/1800
http://aims.fao.org/aos/agrovoc/c_1919	Cost benefit analysis	http://www.w3.org/2004/02/skos/mapping#exactMatch	cost-benefit analysis	http://www.eionet.europa.eu/gemet/concept/1818
http://aims.fao.org/aos/agrovoc/c_1926	Cotton	http://www.w3.org/2004/02/skos/mapping#exactMatch	cotton	http://www.eionet.europa.eu/gemet/concept/1827
http://aims.fao.org/aos/agrovoc/c_1954	credit	http://www.w3.org/2004/02/skos/mapping#exactMatch	credit	http://www.eionet.europa.eu/gemet/concept/13177
http://aims.fao.org/aos/agrovoc/c_1962	crocodiles	http://www.w3.org/2004/02/skos/mapping#exactMatch	crocodile	http://www.eionet.europa.eu/gemet/concept/1870
http://aims.fao.org/aos/agrovoc/c_2018	Cultivation	http://www.w3.org/2004/02/skos/mapping#exactMatch	cultivation	http://www.eionet.europa.eu/gemet/concept/1899
http://aims.fao.org/aos/agrovoc/c_2021	Cultural development	http://www.w3.org/2004/02/skos/mapping#exactMatch	cultural development	http://www.eionet.europa.eu/gemet/concept/1909
http://aims.fao.org/aos/agrovoc/c_2091	cytology	http://www.w3.org/2004/02/skos/mapping#exactMatch	cytology	http://www.eionet.europa.eu/gemet/concept/1945
http://aims.fao.org/aos/agrovoc/c_2111	Dairy industry	http://www.w3.org/2004/02/skos/mapping#exactMatch	dairy industry	http://www.eionet.europa.eu/gemet/concept/1951
http://aims.fao.org/aos/agrovoc/c_2140	debt	http://www.w3.org/2004/02/skos/mapping#exactMatch	debt	http://www.eionet.europa.eu/gemet/concept/2000
http://aims.fao.org/aos/agrovoc/c_2143	decentralization	http://www.w3.org/2004/02/skos/mapping#exactMatch	decentralisation	http://www.eionet.europa.eu/gemet/concept/2003
http://aims.fao.org/aos/agrovoc/c_2152	deer	http://www.w3.org/2004/02/skos/mapping#exactMatch	deer	http://www.eionet.europa.eu/gemet/concept/2029
http://aims.fao.org/aos/agrovoc/c_2159	Degradation	http://www.w3.org/2004/02/skos/mapping#exactMatch	degradation	http://www.eionet.europa.eu/gemet/concept/2040
http://aims.fao.org/aos/agrovoc/c_2171	demand	http://www.w3.org/2004/02/skos/mapping#exactMatch	demand	http://www.eionet.europa.eu/gemet/concept/2053
http://aims.fao.org/aos/agrovoc/c_2186	Density	http://www.w3.org/2004/02/skos/mapping#exactMatch	density	http://www.eionet.europa.eu/gemet/concept/11116
http://aims.fao.org/aos/agrovoc/c_2194	Dermaptera	http://www.w3.org/2004/02/skos/mapping#exactMatch	dermapteran	http://www.eionet.europa.eu/gemet/concept/2093
http://aims.fao.org/aos/agrovoc/c_2204	Desertification	http://www.w3.org/2004/02/skos/mapping#exactMatch	desertification	http://www.eionet.europa.eu/gemet/concept/2105
http://aims.fao.org/aos/agrovoc/c_2219	Detoxification	http://www.w3.org/2004/02/skos/mapping#exactMatch	detoxification	http://www.eionet.europa.eu/gemet/concept/2143
http://aims.fao.org/aos/agrovoc/c_2223	Heavy metals	http://www.w3.org/2004/02/skos/mapping#exactMatch	heavy metal	http://www.eionet.europa.eu/gemet/concept/3915
http://aims.fao.org/aos/agrovoc/c_2225	Development aid	http://www.w3.org/2004/02/skos/mapping#exactMatch	development aid	http://www.eionet.europa.eu/gemet/concept/2155
http://aims.fao.org/aos/agrovoc/c_2227	Development plans	http://www.w3.org/2004/02/skos/mapping#exactMatch	development plan	http://www.eionet.europa.eu/gemet/concept/2161
http://aims.fao.org/aos/agrovoc/c_2240	Dialysis	http://www.w3.org/2004/02/skos/mapping#exactMatch	dialysis	http://www.eionet.europa.eu/gemet/concept/2167
http://aims.fao.org/aos/agrovoc/c_2331	Disinfectants	http://www.w3.org/2004/02/skos/mapping#exactMatch	disinfectant	http://www.eionet.europa.eu/gemet/concept/2237
http://aims.fao.org/aos/agrovoc/c_2333	Dispersions	http://www.w3.org/2004/02/skos/mapping#exactMatch	dispersion	http://www.eionet.europa.eu/gemet/concept/2245
http://aims.fao.org/aos/agrovoc/c_2337	Distilling industry	http://www.w3.org/2004/02/skos/mapping#exactMatch	distilling industry	http://www.eionet.europa.eu/gemet/concept/2262
http://aims.fao.org/aos/agrovoc/c_10337	DNA	http://www.w3.org/2004/02/skos/mapping#exactMatch	DNA	http://www.eionet.europa.eu/gemet/concept/2279
